ten_cpu,hang,thong_so,gia_vnd,link_hinh_anh,category
"CPU AMD A8 7680 | FM2+, 4 nhân/4 luồng, Max 3.8 GHz",AMD,"CPU AMD A8 7680 | FM2+, 4 nhân/4 luồng, Max 3.8 GHz",490000590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Athlon 3000G | AM4, 2 nhân/4 luồng",AMD,"CPU AMD Athlon 3000G | AM4, 2 nhân/4 luồng",5500001230000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 3 3200G | AM4, 4 nhân/4 luồng, Max 4.0 GHz",AMD,"CPU AMD Ryzen 3 3200G | AM4, 4 nhân/4 luồng, Max 4.0 GHz",8900001780000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 3 3300X | AM4, 4 nhân/8 luồng, Max 4.3 GHz",AMD,"CPU AMD Ryzen 3 3300X | AM4, 4 nhân/8 luồng, Max 4.3 GHz",2290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 3 4100 MPK Tray - Nobox | AM4, 4 nhân/8 luồng, Max 4.0 GHz",AMD,"CPU AMD Ryzen 3 4100 MPK Tray - Nobox | AM4, 4 nhân/8 luồng, Max 4.0 GHz",1890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 3 4100 | AM4, 4 nhân/8 luồng, Max 4.0 GHz",AMD,"CPU AMD Ryzen 3 4100 | AM4, 4 nhân/8 luồng, Max 4.0 GHz",1890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 3 4300G | AM4, 4 nhân/8 luồng, Max 4.0 GHz",AMD,"CPU AMD Ryzen 3 4300G | AM4, 4 nhân/8 luồng, Max 4.0 GHz",2190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 5 3400G | AM4, 4 nhân/8 luồng, Max 4.2 GHz",AMD,"CPU AMD Ryzen 5 3400G | AM4, 4 nhân/8 luồng, Max 4.2 GHz",1890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 5 5500 | AM4, 6 nhân/12 luồng, Max 4.2 GHz",AMD,"CPU AMD Ryzen 5 5500 | AM4, 6 nhân/12 luồng, Max 4.2 GHz",2190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 5 5500GT Tray - Nobox | AM4, 6 nhân/12 luồng, Max 4.4Ghz",AMD,"CPU AMD Ryzen 5 5500GT Tray - Nobox | AM4, 6 nhân/12 luồng, Max 4.4Ghz",3390000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 5 5500GT | AM4, 6 nhân/12 luồng, Max 4.4 GHz",AMD,"CPU AMD Ryzen 5 5500GT | AM4, 6 nhân/12 luồng, Max 4.4 GHz",3490000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 5 5600G | AM4, 6 nhân/12 luồng, Max 4.4 GHz",AMD,"CPU AMD Ryzen 5 5600G | AM4, 6 nhân/12 luồng, Max 4.4 GHz",3490000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 5 5600GT | AM4, 6 nhân/12 luồng, Max 4.6 GHz",AMD,"CPU AMD Ryzen 5 5600GT | AM4, 6 nhân/12 luồng, Max 4.6 GHz",3690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 5 5600X | AM4, 6 nhân/12 luồng, Max 4.6 GHz",AMD,"CPU AMD Ryzen 5 5600X | AM4, 6 nhân/12 luồng, Max 4.6 GHz",33990003450000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 5 7500F Tray - Nobox | AM5, 6 nhân/12 luồng, Max 5.0 GHz",AMD,"CPU AMD Ryzen 5 7500F Tray - Nobox | AM5, 6 nhân/12 luồng, Max 5.0 GHz",3590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 5 7500F | AM5, 6 nhân/12 luồng, Max 5.0 GHz",AMD,"CPU AMD Ryzen 5 7500F | AM5, 6 nhân/12 luồng, Max 5.0 GHz",3990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 5 7500X3D | AM5, 6 Nhân/12 Luồng, Max 4.5 GHz | No Box (100-000001904)",AMD,"CPU AMD Ryzen 5 7500X3D | AM5, 6 Nhân/12 Luồng, Max 4.5 GHz | No Box (100-000001904)",6690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 5 7600 | AM5, 6 nhân/12 luồng, Max 5.1 GHz",AMD,"CPU AMD Ryzen 5 7600 | AM5, 6 nhân/12 luồng, Max 5.1 GHz",4690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 5 7600X | AM5, 6 nhân/12 luồng, Max 5.3 GHz",AMD,"CPU AMD Ryzen 5 7600X | AM5, 6 nhân/12 luồng, Max 5.3 GHz",6190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 5 7600X3D | AM5, 6 nhân/12 luồng, Max 4.7 GHz",AMD,"CPU AMD Ryzen 5 7600X3D | AM5, 6 nhân/12 luồng, Max 4.7 GHz",7990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 5 8500G | AM5, 6 nhân/12 luồng, Max 5.0 GHz",AMD,"CPU AMD Ryzen 5 8500G | AM5, 6 nhân/12 luồng, Max 5.0 GHz",4149000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 5 8600G | AM5, 6 nhân/12 luồng, Max 5.0 GHz",AMD,"CPU AMD Ryzen 5 8600G | AM5, 6 nhân/12 luồng, Max 5.0 GHz",6390000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 5 PRO 4650G MPK Tray - Nobox | AM4, 6 nhân/12 luồng, Max 4.2 GHz",AMD,"CPU AMD Ryzen 5 PRO 4650G MPK Tray - Nobox | AM4, 6 nhân/12 luồng, Max 4.2 GHz",3090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 7 5700 | AM4, 8 nhân/16 luồng, Max 4.6 GHz",AMD,"CPU AMD Ryzen 7 5700 | AM4, 8 nhân/16 luồng, Max 4.6 GHz",4800000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 7 7700 Tray - Nobox | AM5, 8 nhân/16 luồng, Max 5.3 GHz",AMD,"CPU AMD Ryzen 7 7700 Tray - Nobox | AM5, 8 nhân/16 luồng, Max 5.3 GHz",5450000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 7 7800X 3D Tray - Nobox | AM5, 8 nhân/16 luồng, Max 5.0 GHz",AMD,"CPU AMD Ryzen 7 7800X 3D Tray - Nobox | AM5, 8 nhân/16 luồng, Max 5.0 GHz",8690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 7 7800X 3D Tray - Nobox | AM5, 8 nhân/16 luồng, Max 5.0 GHz",AMD,"CPU AMD Ryzen 7 7800X 3D Tray - Nobox | AM5, 8 nhân/16 luồng, Max 5.0 GHz",8890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 7 9800X3D Tray - Nobox | AM5, 8 nhân/16 luồng, Max 5.2 GHz",AMD,"CPU AMD Ryzen 7 9800X3D Tray - Nobox | AM5, 8 nhân/16 luồng, Max 5.2 GHz",12790000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 7 9800X3D | AM5, 8 nhân/16 luồng, Max 5.2 GHz",AMD,"CPU AMD Ryzen 7 9800X3D | AM5, 8 nhân/16 luồng, Max 5.2 GHz",13890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 9 7900 | AM5, 12 nhân/24 luồng, Max 5.4 GHz",AMD,"CPU AMD Ryzen 9 7900 | AM5, 12 nhân/24 luồng, Max 5.4 GHz",11990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 9 9900X | AM5, 12 nhân/24 luồng, Max 5.6 GHz",AMD,"CPU AMD Ryzen 9 9900X | AM5, 12 nhân/24 luồng, Max 5.6 GHz",11990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 9 9900X3D | AM5, 12 nhân/24 luồng, Max 5.5 GHz",AMD,"CPU AMD Ryzen 9 9900X3D | AM5, 12 nhân/24 luồng, Max 5.5 GHz",16990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 9 9950X Tray - Nobox | AM5, 16 nhân/32 luồng, Max 5.7 GHz",AMD,"CPU AMD Ryzen 9 9950X Tray - Nobox | AM5, 16 nhân/32 luồng, Max 5.7 GHz",14050000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen 9 9950X3D Tray - Nobox | AM5, 16 nhân/32 luồng, Max 5.7 GHz",AMD,"CPU AMD Ryzen 9 9950X3D Tray - Nobox | AM5, 16 nhân/32 luồng, Max 5.7 GHz",18790000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen Threadripper 5955X | sWRX8, 16 nhân/32 luồng, Max 4.5 GHz",AMD,"CPU AMD Ryzen Threadripper 5955X | sWRX8, 16 nhân/32 luồng, Max 4.5 GHz",35000000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen Threadripper 7980X | sTR5, 64 nhân/128 luồng, Max 5.1 GHz",AMD,"CPU AMD Ryzen Threadripper 7980X | sTR5, 64 nhân/128 luồng, Max 5.1 GHz",140400000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen Threadripper 9960X | sTR5, 24 nhân/48 luồng, Max 5.4 GHz",AMD,"CPU AMD Ryzen Threadripper 9960X | sTR5, 24 nhân/48 luồng, Max 5.4 GHz",43900000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen Threadripper 9970X | sTR5, 32 nhân/64 luồng, Max 5.4 GHz",AMD,"CPU AMD Ryzen Threadripper 9970X | sTR5, 32 nhân/64 luồng, Max 5.4 GHz",72900000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen Threadripper 9980X | sTR5, 64 nhân/128 luồng, Max 5.4 GHz",AMD,"CPU AMD Ryzen Threadripper 9980X | sTR5, 64 nhân/128 luồng, Max 5.4 GHz",145900000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen Threadripper PRO 5965X | sWRX8, 24 nhân/48 luồng, Max 4.5GHz",AMD,"CPU AMD Ryzen Threadripper PRO 5965X | sWRX8, 24 nhân/48 luồng, Max 4.5GHz",64000000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen Threadripper PRO 5975X | sWRX8, 32 nhân/64 luồng, Max 4.5 GHz",AMD,"CPU AMD Ryzen Threadripper PRO 5975X | sWRX8, 32 nhân/64 luồng, Max 4.5 GHz",89000000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen Threadripper PRO 5995X | sWRX8, 64 nhân/128 luồng, Max 4.5 GHz",AMD,"CPU AMD Ryzen Threadripper PRO 5995X | sWRX8, 64 nhân/128 luồng, Max 4.5 GHz",176000000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen Threadripper PRO 7965WX | sTR5, 24 nhân/48 luồng, Max 5.3 GHz",AMD,"CPU AMD Ryzen Threadripper PRO 7965WX | sTR5, 24 nhân/48 luồng, Max 5.3 GHz",74600000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen Threadripper PRO 7975WX | sTR5, 32 nhân/64 luồng, Max 5.3 GHz",AMD,"CPU AMD Ryzen Threadripper PRO 7975WX | sTR5, 32 nhân/64 luồng, Max 5.3 GHz",109000000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen Threadripper PRO 7985WX | sTR5, 64 nhân/128 luồng, Max 5.1 GHz",AMD,"CPU AMD Ryzen Threadripper PRO 7985WX | sTR5, 64 nhân/128 luồng, Max 5.1 GHz",209000000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen Threadripper PRO 7995X | sTR5, 96 nhân/192 luồng, Max 5.1 GHz",AMD,"CPU AMD Ryzen Threadripper PRO 7995X | sTR5, 96 nhân/192 luồng, Max 5.1 GHz",176000000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen Threadripper PRO 9955WX | sTR5, 16 nhân/32 luồng, Max 5.4 GHz",AMD,"CPU AMD Ryzen Threadripper PRO 9955WX | sTR5, 16 nhân/32 luồng, Max 5.4 GHz",47900000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen Threadripper PRO 9965WX | sTR5, 24 nhân/48 luồng, Max 5.4 GHz",AMD,"CPU AMD Ryzen Threadripper PRO 9965WX | sTR5, 24 nhân/48 luồng, Max 5.4 GHz",83900000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen Threadripper PRO 9975WX | sTR5, 32 nhân/64 luồng, Max 5.4 GHz",AMD,"CPU AMD Ryzen Threadripper PRO 9975WX | sTR5, 32 nhân/64 luồng, Max 5.4 GHz",119900000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen Threadripper PRO 9995WX | sTR5, 96 nhân/192 luồng, Max 5.4 GHz",AMD,"CPU AMD Ryzen Threadripper PRO 9995WX | sTR5, 96 nhân/192 luồng, Max 5.4 GHz",350000000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen™ 7 9850X3D Box Chính Hãng | AM5, 8 nhân / 16 luồng, Max Boost 5.6 GHz (100-100001973WOF)",AMD,"CPU AMD Ryzen™ 7 9850X3D Box Chính Hãng | AM5, 8 nhân / 16 luồng, Max Boost 5.6 GHz (100-100001973WOF)",15190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen™ 7 9850X3D Tray-Nobox | AM5, 8 nhân / 16 luồng, Max Boost 5.6 GHz (100-000001973)",AMD,"CPU AMD Ryzen™ 7 9850X3D Tray-Nobox | AM5, 8 nhân / 16 luồng, Max Boost 5.6 GHz (100-000001973)",13950000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD X4 840 FM2 Tray - Nobox | FM2, 4 nhân/4 luồng, Max 3.8 GHz",AMD,"CPU AMD X4 840 FM2 Tray - Nobox | FM2, 4 nhân/4 luồng, Max 3.8 GHz",310000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i3 10105 Tray VAT | LGA 1200, 4 nhân/8 luồng, Max 4.4 GHz",Intel,"CPU Intel Core i3 10105 Tray VAT | LGA 1200, 4 nhân/8 luồng, Max 4.4 GHz",2690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i3 12100 Tray VAT | LGA 1700, 4 nhân/8 luồng, Max 4.3 GHz",Intel,"CPU Intel Core i3 12100 Tray VAT | LGA 1700, 4 nhân/8 luồng, Max 4.3 GHz",3290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i3 12100 | LGA 1700, 4 nhân/8 luồng, Max 4.3 GHz",Intel,"CPU Intel Core i3 12100 | LGA 1700, 4 nhân/8 luồng, Max 4.3 GHz",4190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i3 12100F Tray - Nobox | LGA 1700, 4 nhân/8 luồng, Max 4.3 GHz",Intel,"CPU Intel Core i3 12100F Tray - Nobox | LGA 1700, 4 nhân/8 luồng, Max 4.3 GHz",1990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i3 12100F Tray - Nobox | LGA 1700, 4 nhân/8 luồng, Max 4.3 GHz",Intel,"CPU Intel Core i3 12100F Tray - Nobox | LGA 1700, 4 nhân/8 luồng, Max 4.3 GHz",2190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i3 12100F Tray VAT | LGA 1700, 4 nhân/8 luồng, Max 4.3 GHz",Intel,"CPU Intel Core i3 12100F Tray VAT | LGA 1700, 4 nhân/8 luồng, Max 4.3 GHz",2090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
