ten_cpu,hang,thong_so,gia_vnd,link_hinh_anh,category
"CPU Intel Core i3 12100F | LGA 1700, 4 nhân/8 luồng, Max 4.3 GHz",Intel,"CPU Intel Core i3 12100F | LGA 1700, 4 nhân/8 luồng, Max 4.3 GHz",2350000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i3 13100 | LGA 1700, 4 nhân/8 luồng, Max 4.5 GHz",Intel,"CPU Intel Core i3 13100 | LGA 1700, 4 nhân/8 luồng, Max 4.5 GHz",4090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i3 13100F Tray VAT | LGA 1700, 4 nhân/8 luồng, Max 4.5 GHz",Intel,"CPU Intel Core i3 13100F Tray VAT | LGA 1700, 4 nhân/8 luồng, Max 4.5 GHz",2190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i3 13100F | LGA1700, 4 nhân/8 luồng, Max 4.5 GHz",Intel,"CPU Intel Core i3 13100F | LGA1700, 4 nhân/8 luồng, Max 4.5 GHz",2390000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i3 14100F | LGA1700, 4 nhân/8 luồng, Max 4.7 GHz",Intel,"CPU Intel Core i3 14100F | LGA1700, 4 nhân/8 luồng, Max 4.7 GHz",2590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
CPU Intel Core i3-14100 Tray Chính Hãng ( No box),Intel,CPU Intel Core i3-14100 Tray Chính Hãng ( No box),3990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 10400 Tray VAT | LGA 1200, 6 nhân/12 luồng, Max 4.3 GHz",Intel,"CPU Intel Core i5 10400 Tray VAT | LGA 1200, 6 nhân/12 luồng, Max 4.3 GHz",3390000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 10400 | LGA 1200, 6 nhân/12 luồng, Max 4.3 GHz",Intel,"CPU Intel Core i5 10400 | LGA 1200, 6 nhân/12 luồng, Max 4.3 GHz",3890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 10400F Tray VAT | LGA 1200, 6 nhân/12 luồng, Max 4.3 GHz",Intel,"CPU Intel Core i5 10400F Tray VAT | LGA 1200, 6 nhân/12 luồng, Max 4.3 GHz",2090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 11400F Tray VAT | LGA 1200, 6 nhân/12 luồng, Max 4.4 GHz",Intel,"CPU Intel Core i5 11400F Tray VAT | LGA 1200, 6 nhân/12 luồng, Max 4.4 GHz",2350000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 12400F Tray - Nobox | LGA 1700, 6 nhân/12 luồng, Max 4.4 GHz",Intel,"CPU Intel Core i5 12400F Tray - Nobox | LGA 1700, 6 nhân/12 luồng, Max 4.4 GHz",3350000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 12400F Tray VAT | LGA 1700, 6 nhân/12 luồng, Max 4.4 GHz",Intel,"CPU Intel Core i5 12400F Tray VAT | LGA 1700, 6 nhân/12 luồng, Max 4.4 GHz",3350000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 12400F Tray | LGA1700, 6 nhân/12 luồng, Max 4.4 GHz",Intel,"CPU Intel Core i5 12400F Tray | LGA1700, 6 nhân/12 luồng, Max 4.4 GHz",3290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 12400F | LGA 1700, 6 nhân/12 luồng, Max 4.4 GHz",Intel,"CPU Intel Core i5 12400F | LGA 1700, 6 nhân/12 luồng, Max 4.4 GHz",3590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 12500 | LGA1700, 6 nhân/12 luồng, Max 4.6 GHz",Intel,"CPU Intel Core i5 12500 | LGA1700, 6 nhân/12 luồng, Max 4.6 GHz",5590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core I5 12600K | LGA1700, Turbo 4.90 GHz, 10C/16T, 20MB, Box Chính Hãng",Intel,"CPU Intel Core I5 12600K | LGA1700, Turbo 4.90 GHz, 10C/16T, 20MB, Box Chính Hãng",5790000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 13400 Tray VAT | LGA 1700, 10 nhân/16 luồng, Max 4.4 GHz",Intel,"CPU Intel Core i5 13400 Tray VAT | LGA 1700, 10 nhân/16 luồng, Max 4.4 GHz",6590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 13400F Tray VAT | LGA 1700, 10 nhân/16 luồng, Max 4.6 GHz",Intel,"CPU Intel Core i5 13400F Tray VAT | LGA 1700, 10 nhân/16 luồng, Max 4.6 GHz",3890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 13400F | LGA 1700, 10 nhân/16 luồng, Max 4.6 GHz",Intel,"CPU Intel Core i5 13400F | LGA 1700, 10 nhân/16 luồng, Max 4.6 GHz",4290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 14400 Tray VAT | LGA 1700, 10 nhân/16 luồng, Max 4.7 GHz",Intel,"CPU Intel Core i5 14400 Tray VAT | LGA 1700, 10 nhân/16 luồng, Max 4.7 GHz",6690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 14400F Tray VAT | LGA 1700, 10 nhân/16 luồng, Max 4.7 GHz",Intel,"CPU Intel Core i5 14400F Tray VAT | LGA 1700, 10 nhân/16 luồng, Max 4.7 GHz",4090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 14600KF Tray VAT | LGA 1700, 14 nhân/20 luồng, Max 5.3 GHz",Intel,"CPU Intel Core i5 14600KF Tray VAT | LGA 1700, 14 nhân/20 luồng, Max 5.3 GHz",6190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 14600KF | LGA 1700, 14 nhân/20 luồng, Max 5.3 GHz",Intel,"CPU Intel Core i5 14600KF | LGA 1700, 14 nhân/20 luồng, Max 5.3 GHz",6350000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
CPU Intel Core i5-12400 Tray Chính Hãng (No Box),Intel,CPU Intel Core i5-12400 Tray Chính Hãng (No Box),4890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
CPU Intel Core i5-14600K Tray Chính Hãng (No Box),Intel,CPU Intel Core i5-14600K Tray Chính Hãng (No Box),6290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i7 10700K | LGA 1200, 8 nhân/16 luồng, Max 5.1 GHz",Intel,"CPU Intel Core i7 10700K | LGA 1200, 8 nhân/16 luồng, Max 5.1 GHz",6539000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i7 12700 Tray VAT | LGA 1700, 12 nhân/20 luồng, Max 4.9 GHz",Intel,"CPU Intel Core i7 12700 Tray VAT | LGA 1700, 12 nhân/20 luồng, Max 4.9 GHz",7790000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i7 12700F Tray VAT | LGA 1700, 12 nhân/20 luồng, Max 4.9 GHz",Intel,"CPU Intel Core i7 12700F Tray VAT | LGA 1700, 12 nhân/20 luồng, Max 4.9 GHz",6990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i7 12700F | LGA 1700, 12 nhân/20 luồng, Max 4.9 GHz",Intel,"CPU Intel Core i7 12700F | LGA 1700, 12 nhân/20 luồng, Max 4.9 GHz",6990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i7 12700K Tray VAT | LGA 1700, 12 nhân/20 luồng, Max 5.0 GHz",Intel,"CPU Intel Core i7 12700K Tray VAT | LGA 1700, 12 nhân/20 luồng, Max 5.0 GHz",7190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i7 12700K | LGA 1700, 12 nhân/20 luồng, Max 5.0 GHz",Intel,"CPU Intel Core i7 12700K | LGA 1700, 12 nhân/20 luồng, Max 5.0 GHz",8090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i7 12700KF Tray VAT | LGA 1700, 12 nhân/20 luồng, Max 5.0 GHz",Intel,"CPU Intel Core i7 12700KF Tray VAT | LGA 1700, 12 nhân/20 luồng, Max 5.0 GHz",6590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i7 13700K | LGA 1700, 16 nhân/24 luồng, Max 5.4 GHz",Intel,"CPU Intel Core i7 13700K | LGA 1700, 16 nhân/24 luồng, Max 5.4 GHz",8590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i7 13700KF | LGA1700, 16 nhân/24 luồng, Max 5.4 GHz",Intel,"CPU Intel Core i7 13700KF | LGA1700, 16 nhân/24 luồng, Max 5.4 GHz",10299000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i7 14700F Tray VAT | LGA 1700, 20 nhân/28 luồng, Max 5.4 GHz",Intel,"CPU Intel Core i7 14700F Tray VAT | LGA 1700, 20 nhân/28 luồng, Max 5.4 GHz",8090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i7 14700F | LGA 1700, 20 nhân/28 luồng, Max 5.4 GHz",Intel,"CPU Intel Core i7 14700F | LGA 1700, 20 nhân/28 luồng, Max 5.4 GHz",8490000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i7 14700K Công Ty | Up to 5.6GHz, 20 cores 28 threads",Intel,"CPU Intel Core i7 14700K Công Ty | Up to 5.6GHz, 20 cores 28 threads",10990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i7 14700K Tray VAT | LGA 1700, 20 nhân/28 luồng, Max 5.6 GHz",Intel,"CPU Intel Core i7 14700K Tray VAT | LGA 1700, 20 nhân/28 luồng, Max 5.6 GHz",10790000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i7 14700K | LGA 1700, 20 nhân/28 luồng, Max 5.6 GHz",Intel,"CPU Intel Core i7 14700K | LGA 1700, 20 nhân/28 luồng, Max 5.6 GHz",11690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i7 9700F Tray | LGA1151, 8 nhân/8 luồng, Max 4.7 GHz",Intel,"CPU Intel Core i7 9700F Tray | LGA1151, 8 nhân/8 luồng, Max 4.7 GHz",2986000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
CPU Intel Core i7-12700 Tray Chính Hãng (No Box),Intel,CPU Intel Core i7-12700 Tray Chính Hãng (No Box),7990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
CPU Intel Core i7-14700 Tray Chính Hãng (No Box),Intel,CPU Intel Core i7-14700 Tray Chính Hãng (No Box),11390000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i9 14900K | LGA 1700, 24 nhân/32 luồng, Max 5.6 GHz",Intel,"CPU Intel Core i9 14900K | LGA 1700, 24 nhân/32 luồng, Max 5.6 GHz",13590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i9 14900KF | LGA 1700, 24 nhân/32 luồng, Max 5.6 GHz",Intel,"CPU Intel Core i9 14900KF | LGA 1700, 24 nhân/32 luồng, Max 5.6 GHz",12390000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i9 9820X | LGA 2066, 10 nhân/20 luồng, Max 4.1 GHz",Intel,"CPU Intel Core i9 9820X | LGA 2066, 10 nhân/20 luồng, Max 4.1 GHz",11990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i9 9940X | LGA 2066, 14 nhân/28 luồng, Max 4.5 GHz",Intel,"CPU Intel Core i9 9940X | LGA 2066, 14 nhân/28 luồng, Max 4.5 GHz",12990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core Ultra 5 225 | FCLGA1851, 10 nhân/10 luồng, Max 4.9 GHz",Intel,"CPU Intel Core Ultra 5 225 | FCLGA1851, 10 nhân/10 luồng, Max 4.9 GHz",4690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core Ultra 5 225F | FCLGA1851, 10 nhân/10 luồng, Max 4.9 GHz",Intel,"CPU Intel Core Ultra 5 225F | FCLGA1851, 10 nhân/10 luồng, Max 4.9 GHz",4290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core Ultra 5 235 | FCLGA1851, 14 nhân/14 luồng, Max 5.0 GHz",Intel,"CPU Intel Core Ultra 5 235 | FCLGA1851, 14 nhân/14 luồng, Max 5.0 GHz",7099000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core Ultra 5 245K | LGA1851, 14 nhân/14 luồng, Max 5.2 GHz",Intel,"CPU Intel Core Ultra 5 245K | LGA1851, 14 nhân/14 luồng, Max 5.2 GHz",6190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core Ultra 5 245KF Tray VAT | LGA 1851, 14 nhân/14 luồng, Max 5.2GHz",Intel,"CPU Intel Core Ultra 5 245KF Tray VAT | LGA 1851, 14 nhân/14 luồng, Max 5.2GHz",5090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core Ultra 5 245KF | LGA 1851, 14 nhân/14 luồng, Max 5.2 GHz",Intel,"CPU Intel Core Ultra 5 245KF | LGA 1851, 14 nhân/14 luồng, Max 5.2 GHz",7690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core Ultra 5 245KF | LGA1851, 14 nhân/14 luồng, Max 5.2 GHz",Intel,"CPU Intel Core Ultra 5 245KF | LGA1851, 14 nhân/14 luồng, Max 5.2 GHz",5990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core Ultra 7 265 | LGA 1851, 20 nhân/20 luồng, Max 5.5 GHz",Intel,"CPU Intel Core Ultra 7 265 | LGA 1851, 20 nhân/20 luồng, Max 5.5 GHz",9590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core Ultra 7 265K Tray VAT | LGA 1851, 20 nhân/20 luồng, Max 5.5 GHz",Intel,"CPU Intel Core Ultra 7 265K Tray VAT | LGA 1851, 20 nhân/20 luồng, Max 5.5 GHz",8290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core Ultra 9 285K | LGA 1851, 24 nhân/24 luồng, Max 5.7 GHz",Intel,"CPU Intel Core Ultra 9 285K | LGA 1851, 24 nhân/24 luồng, Max 5.7 GHz",16090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Pentium G6405 | LGA1200, 2 nhân/4 luồng",Intel,"CPU Intel Pentium G6405 | LGA1200, 2 nhân/4 luồng",2090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Pentium Gold G6405 Tray VAT | LGA1200, 2 nhân/4 luồng, Max",Intel,"CPU Intel Pentium Gold G6405 Tray VAT | LGA1200, 2 nhân/4 luồng, Max",1190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Xeon E5 2670 V3 Tray | LGA2011, 12 nhân/24 luồng, Max 3.1 GHz",Intel,"CPU Intel Xeon E5 2670 V3 Tray | LGA2011, 12 nhân/24 luồng, Max 3.1 GHz",1489000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
