ten_vga,hang,thong_so,gia_vnd,link_hinh_anh,category
"Card màn hình AMD Radeon RX 550 T-WOLF RX 550 | 4GB GDDR5, 512 SP, 350W",AMD,"Card màn hình AMD Radeon RX 550 T-WOLF RX 550 | 4GB GDDR5, 512 SP, 350W",1790000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 580 T-WOLF White Dual | 8GB GDDR5, 2304 SP, 500W",AMD,"Card màn hình AMD Radeon RX 580 T-WOLF White Dual | 8GB GDDR5, 2304 SP, 500W",2490000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 580 T-WOLF | 8GB GDDR5, 2304 SP, 500W",AMD,"Card màn hình AMD Radeon RX 580 T-WOLF | 8GB GDDR5, 2304 SP, 500W",3190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 6500 XT Gigabyte EAGLE | 4GB GDDR6, 1024 SP, 400W",AMD,"Card màn hình AMD Radeon RX 6500 XT Gigabyte EAGLE | 4GB GDDR6, 1024 SP, 400W",3890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 6900 XT ASRock Formula OC | 16GB GDDR6, 5120 SP, 1000W",AMD,"Card màn hình AMD Radeon RX 6900 XT ASRock Formula OC | 16GB GDDR6, 5120 SP, 1000W",18900000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 6900 XT ASUS TUF Gaming OC | 16GB GDDR6, 5120 SP, 850W",AMD,"Card màn hình AMD Radeon RX 6900 XT ASUS TUF Gaming OC | 16GB GDDR6, 5120 SP, 850W",20990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 6900 XT ASUS TUF Gaming TOP Edition | 16GB GDDR6, 5120 SP, 850W",AMD,"Card màn hình AMD Radeon RX 6900 XT ASUS TUF Gaming TOP Edition | 16GB GDDR6, 5120 SP, 850W",21990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 7600 ASUS Dual EVO OC | 8GB GDDR6, 2048 SP, 550W",AMD,"Card màn hình AMD Radeon RX 7600 ASUS Dual EVO OC | 8GB GDDR6, 2048 SP, 550W",6790000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 7600 Gigabyte GAMING OC | 8GB GDDR6, 2048 SP, 550W",AMD,"Card màn hình AMD Radeon RX 7600 Gigabyte GAMING OC | 8GB GDDR6, 2048 SP, 550W",6850000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 7600 SAPPHIRE PULSE OC | 8GB GDDR6, 2048 SP, 550W",AMD,"Card màn hình AMD Radeon RX 7600 SAPPHIRE PULSE OC | 8GB GDDR6, 2048 SP, 550W",6990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 9060 XT ASRock Steel Legend OC | 16GB GDDR6, 2048 SP, 750W",AMD,"Card màn hình AMD Radeon RX 9060 XT ASRock Steel Legend OC | 16GB GDDR6, 2048 SP, 750W",12290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 9060 XT ASUS Prime OC | 16GB GDDR6, 2048 SP, 550W",AMD,"Card màn hình AMD Radeon RX 9060 XT ASUS Prime OC | 16GB GDDR6, 2048 SP, 550W",12990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 9060 XT Gigabyte Gaming OC | 16GB GDDR6, 2048 SP, 550W",AMD,"Card màn hình AMD Radeon RX 9060 XT Gigabyte Gaming OC | 16GB GDDR6, 2048 SP, 550W",12990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 9060 XT SAPPHIRE NITRO+ Gaming OC | 16GB GDDR6, 2048 SP, 550W",AMD,"Card màn hình AMD Radeon RX 9060 XT SAPPHIRE NITRO+ Gaming OC | 16GB GDDR6, 2048 SP, 550W",12990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 9060 XT SAPPHIRE PURE Gaming OC | 16GB GDDR6, 2048 SP, 550W",AMD,"Card màn hình AMD Radeon RX 9060 XT SAPPHIRE PURE Gaming OC | 16GB GDDR6, 2048 SP, 550W",12290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 9070 Gigabyte RX 9070 Gaming OC | 16GB GDDR6, 5384 SP, 750W",AMD,"Card màn hình AMD Radeon RX 9070 Gigabyte RX 9070 Gaming OC | 16GB GDDR6, 5384 SP, 750W",19290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 9070 XT ASRock Steel Legend | 16GB GDDR6, 4096 SP, 800W",AMD,"Card màn hình AMD Radeon RX 9070 XT ASRock Steel Legend | 16GB GDDR6, 4096 SP, 800W",21390000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 9070 XT ASRock Taichi OC | 16GB GDDR6, 4096 SP, 850W",AMD,"Card màn hình AMD Radeon RX 9070 XT ASRock Taichi OC | 16GB GDDR6, 4096 SP, 850W",22590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 9070 XT ASUS Prime OC | 16GB GDDR6, 4096 SP, 750W",AMD,"Card màn hình AMD Radeon RX 9070 XT ASUS Prime OC | 16GB GDDR6, 4096 SP, 750W",22490000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 9070 XT ASUS RX 9070 Prime OC | 16GB GDDR6, 5384 SP, 650W",AMD,"Card màn hình AMD Radeon RX 9070 XT ASUS RX 9070 Prime OC | 16GB GDDR6, 5384 SP, 650W",19890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 9070 XT ASUS TUF Gaming OC | 16GB GDDR6, 4096 SP, 850W",AMD,"Card màn hình AMD Radeon RX 9070 XT ASUS TUF Gaming OC | 16GB GDDR6, 4096 SP, 850W",22690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
Card màn hình ARK RX550 4GB,AMD,Card màn hình ARK RX550 4GB,1790000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
Card màn hình ASRock AMD Radeon™ RX 9060 XT Challenger 16GB OC,AMD,Card màn hình ASRock AMD Radeon™ RX 9060 XT Challenger 16GB OC,11590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
Card màn hình Asus Dual RTX 5050 8GB (Dual-Rtx5050-8G),NVIDIA,Card màn hình Asus Dual RTX 5050 8GB (Dual-Rtx5050-8G),6850000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
Card màn hình ASUS GT 1030 2GB GDDR5 Silent BRK (GT 1030-SL-2GB-BRK),ASUS,Card màn hình ASUS GT 1030 2GB GDDR5 Silent BRK (GT 1030-SL-2GB-BRK),2490000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
Card màn hình Colorful iGame RTX 5080 Advanced OC 16GB-V,NVIDIA,Card màn hình Colorful iGame RTX 5080 Advanced OC 16GB-V,36990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
Card màn hình GIGABYTE AORUS RX 9070 XT 16G ELITE (GV-R9070XTAORUS E-16GD),AMD,Card màn hình GIGABYTE AORUS RX 9070 XT 16G ELITE (GV-R9070XTAORUS E-16GD),22990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
Card màn hình Gigabyte RTX 5070 12G EAGLE OC SFF,NVIDIA,Card màn hình Gigabyte RTX 5070 12G EAGLE OC SFF,19890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
Card màn hình Gigabyte RTX 5070 12G WINDFORCE OC SFF,NVIDIA,Card màn hình Gigabyte RTX 5070 12G WINDFORCE OC SFF,19700000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
Card màn hình Gigabyte RTX 5070 EAGLE OC ICE SFF 12G,NVIDIA,Card màn hình Gigabyte RTX 5070 EAGLE OC ICE SFF 12G,18990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
Card màn hình MSI RTX 5060 Ti Ventus 3X OC 16G,NVIDIA,Card màn hình MSI RTX 5060 Ti Ventus 3X OC 16G,16690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
Card màn hình MSI RTX 5070 12G VENTUS 2X OC WHITE,NVIDIA,Card màn hình MSI RTX 5070 12G VENTUS 2X OC WHITE,19290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
Card màn hình MSI RTX 5080 16G VENTUS 3X OC WHITE,NVIDIA,Card màn hình MSI RTX 5080 16G VENTUS 3X OC WHITE,37490000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
Card màn hình MSI RTX™ 5080 16G INSPIRE 3X OC,NVIDIA,Card màn hình MSI RTX™ 5080 16G INSPIRE 3X OC,37890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce GT 1030 Colorful | 4GB GDDR4, 384 CUDA, 300W",NVIDIA,"Card màn hình NVIDIA GeForce GT 1030 Colorful | 4GB GDDR4, 384 CUDA, 300W",1950000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce GT 730 ASUS | 2GB GDDR5, 384 CUDA, 300W",NVIDIA,"Card màn hình NVIDIA GeForce GT 730 ASUS | 2GB GDDR5, 384 CUDA, 300W",1490000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce GTX 1660 Super OCPC XE | 6GB GDDR6, 1408 CUDA, 450W",NVIDIA,"Card màn hình NVIDIA GeForce GTX 1660 Super OCPC XE | 6GB GDDR6, 1408 CUDA, 450W",4290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 2060 Super OCPC | 8GB GDDR6, 2176 CUDA, 550W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 2060 Super OCPC | 8GB GDDR6, 2176 CUDA, 550W",5890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 2060 Super T-WOLF | 8GB GDDR6, 2176 CUDA, 550W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 2060 Super T-WOLF | 8GB GDDR6, 2176 CUDA, 550W",5890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 3050 ASUS Dual OC | 6GB GDDR6, 2304 CUDA, 450W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 3050 ASUS Dual OC | 6GB GDDR6, 2304 CUDA, 450W",5290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 3050 ASUS Dual | 6GB GDDR6, 2304 CUDA, 450W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 3050 ASUS Dual | 6GB GDDR6, 2304 CUDA, 450W",5290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 3050 ASUS Dual | 8GB GDDR6, 2560 CUDA, 450W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 3050 ASUS Dual | 8GB GDDR6, 2560 CUDA, 450W",5890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 3050 Colorful iGame NB | 6GB GDDR6, 2304 CUDA, 450W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 3050 Colorful iGame NB | 6GB GDDR6, 2304 CUDA, 450W",4450000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 3050 Colorful V4-4 | 6GB GDDR6, 2304 CUDA, 450W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 3050 Colorful V4-4 | 6GB GDDR6, 2304 CUDA, 450W",5190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 3050 Gigabyte WindForce OC | 6GB GDDR6, 2304 CUDA, 300W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 3050 Gigabyte WindForce OC | 6GB GDDR6, 2304 CUDA, 300W",5190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 3050 Gigabyte WindForce OC | 8GB GDDR6, 2560 CUDA, 450W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 3050 Gigabyte WindForce OC | 8GB GDDR6, 2560 CUDA, 450W",5850000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 3050 Inno3D Twin X2 | 6GB GDDR6, 2304 CUDA, 450W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 3050 Inno3D Twin X2 | 6GB GDDR6, 2304 CUDA, 450W",5090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 3050 MSI Ventus 2X E OC | 6GB GDDR6, 2560 CUDA, 300W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 3050 MSI Ventus 2X E OC | 6GB GDDR6, 2560 CUDA, 300W",5290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 3050 MSI Ventus 2X XS OC | 8GB GDDR6, 2560 CUDA, 500W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 3050 MSI Ventus 2X XS OC | 8GB GDDR6, 2560 CUDA, 500W",5890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 3050 ZOTAC Twin Edge OC | 6GB GDDR6, 2560 CUDA, 450W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 3050 ZOTAC Twin Edge OC | 6GB GDDR6, 2560 CUDA, 450W",5190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 3070 T-Wolf White | 8GB GDDR6, 5888 CUDA, 650W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 3070 T-Wolf White | 8GB GDDR6, 5888 CUDA, 650W",8550000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 4060 ASUS Dual | 8GB GDDR6, 3072 CUDA, 550W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 4060 ASUS Dual | 8GB GDDR6, 3072 CUDA, 550W",8990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 4060 Colorful DUO | 8GB GDDR6, 3072 CUDA, 550W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 4060 Colorful DUO | 8GB GDDR6, 3072 CUDA, 550W",8190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 4060 MSI Ventus 2X Black OC | 8GB GDDR6, 3072 CUDA, 550W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 4060 MSI Ventus 2X Black OC | 8GB GDDR6, 3072 CUDA, 550W",8490000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 4070 Colorful Neptune OC | 12GB GDDR6, 5888 CUDA, 750W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 4070 Colorful Neptune OC | 12GB GDDR6, 5888 CUDA, 750W",18390000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 5050 ASUS Dual OC | 8GB GDDR6, 2560 CUDA, 550W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 5050 ASUS Dual OC | 8GB GDDR6, 2560 CUDA, 550W",6990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 5050 Colorful Battle AX DUO | 8GB GDDR6, 2560 CUDA, 500W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 5050 Colorful Battle AX DUO | 8GB GDDR6, 2560 CUDA, 500W",7590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 5050 INNO3D Twin X2 | 8GB GDDR6, 2560 CUDA, 550W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 5050 INNO3D Twin X2 | 8GB GDDR6, 2560 CUDA, 550W",6990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 5060 ASUS Dual OC | 8GB GDDR7, 3840 CUDA, 550W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 5060 ASUS Dual OC | 8GB GDDR7, 3840 CUDA, 550W",9450000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 5060 Colorful Battle AX DUO | 8GB GDDR7, 3840 CUDA, 550W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 5060 Colorful Battle AX DUO | 8GB GDDR7, 3840 CUDA, 550W",9090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 5060 Colorful Gaming DUO | 8GB GDDR7, 3840 CUDA, 550W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 5060 Colorful Gaming DUO | 8GB GDDR7, 3840 CUDA, 550W",8990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 5060 Colorful iGame Ultra W DUO OC | 8GB GDDR7, 3840 CUDA, 550W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 5060 Colorful iGame Ultra W DUO OC | 8GB GDDR7, 3840 CUDA, 550W",9790000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 5060 Colorful NB DUO | 8GB GDDR7, 3840 CUDA, 550W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 5060 Colorful NB DUO | 8GB GDDR7, 3840 CUDA, 550W",8990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 5060 Gigabyte WINDFORCE OC | 8GB GDDR7, 3840 CUDA, 450W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 5060 Gigabyte WINDFORCE OC | 8GB GDDR7, 3840 CUDA, 450W",8990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 5060 Gigabyte WINDFORCE | 8GB GDDR7, 3840 CUDA, 450W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 5060 Gigabyte WINDFORCE | 8GB GDDR7, 3840 CUDA, 450W",8890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 5060 INNO3D TWIN X2 OC | 8GB GDDR7, 3840 CUDA, 550W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 5060 INNO3D TWIN X2 OC | 8GB GDDR7, 3840 CUDA, 550W",8790000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình NVIDIA GeForce RTX 5060 INNO3D TWIN X2 | 8GB GDDR7, 3840 CUDA, 550W",NVIDIA,"Card màn hình NVIDIA GeForce RTX 5060 INNO3D TWIN X2 | 8GB GDDR7, 3840 CUDA, 550W",8890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
